Product name / model,Type ,Brand,MPN,Capacity,Readability,Short copy,Long copy,Power,Housing,Calibration,Display,Weighing units,Pan size,Overall Dimensions,Shipping Dimensions,Weight,Shipping Weight,Accessories,Image 1,Image 2,Image 3,Image 4,Data sheet,User manual,PN NO,HSN NO,SKU
Adam Luna Analytical Balance,Parent,Adam Equipment,,,,"•High accuracy analytical balances with large display
•USB and RS-232 outputs for sending data to printer/PC
•Print-outs include date and time in line with Good Laboratory Practices (GLP) guidelines
•5-year manufacturer's warranty
•Large, grade 304 stainless steel pan
•Multilingual display
•Selectiable digital filtering helps the balance provide dependable results
•Weigh-below hook for density determination
•Internal calibration models available (those with 'i' suffix)
•Use for weighing, parts counting, checkweighing, check counting, percentage weighing, density determination, dynamic weighing","Luna analytical balances are high accuracy, easy to use analytical lab balances. They feature a huge display with 24mm-high digits, selectable digital filtering and a USB/RS-232 output for sending GLP-compliant reports to a printer (Adam's ATP2 Thermal Printer)or PC (using Adam's AdumDU data capture software). Luna analytical balances are used for very high accuracy weighing in lab environments. They are designed for accuracy and convenience: the huge display makes it easy to read results, the USB/RS-232 output mean you can record your weight readings easily, and internal caliabration on some models means the balance will calibrate itself periodorically - saving you time! Every Luna analytical balance is covered by a 5-year manufacturer's warranty.",18VDC 830mA adaptor,ABS plastic,Internal and External calibration,Backlit LCD with 24mm high digits,"g,kg,lb,lb:oz,oz,ct,GN,dwt,ozt,tl.H,tl.S,tl.T,T, custom unit",,,,,,"104008036 AVT Anti-vibration table, 1060015357 Density determination kit, 3012014260 In-use cover, 700100410 ABI-1 Ioniser, 1120015779 ATP2 Thermal printer, 3014011014 RS-232 cable 9M-9F, 3014016217 USB A-A cable, 600002028 AdamDU Data collection program, 700660290 Calibration certificate",Luna analytical balance.jpg,https://images.salsify.com/image/upload/s--uA4wi4bm--/lari50wxytfkt6viqsbk,https://images.salsify.com/image/upload/s--xJpqxacn--/bcdddiccd7pbillhsszs,,https://images.salsify.com/image/upload/s--UsQgm7dR--/jlwj8ikuscsvgcu7xn9t,https://www.adamequipment.co.uk/media/docs/Print%20Publications/Manuals/Luna_UM_EN.pdf,,,
LAB 84i,Child,Adam Equipment,LAB 84i,80g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 124i,Child,Adam Equipment,LAB 124i,120g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 214i,Child,Adam Equipment,LAB 214i,210g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 254i,Child,Adam Equipment,LAB 254i,250g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 84e,Child,Adam Equipment,LAB 84e,80g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 124e,Child,Adam Equipment,LAB 124e,120g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 214e,Child,Adam Equipment,LAB 214e,210g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
LAB 254e,Child,Adam Equipment,LAB 254e,250g,0.0001g,,,,,,,,80mm ⌀,224x338x374mm,390x530x530mm,6kg,8kg,,,,,,,,,,
Adam Luna Precision Balance,Parent,Adam Equipment,,,,"•High accuracy precision balances with large display
•USB and RS-232 outputs for sending data to printer/PC
•Print-outs include date and time in line with Good Laboratory Practices (GLP) guidelines
•5-year manufacturer's warranty
•Large, grade 304 stainless steel pan
•Multilingual display
•Selectiable digital filtering helps the balance provide dependable results
•Weigh-below hook for density determination
•Internal calibration models available (those with 'i' suffix)
•Use for weighing, parts counting, checkweighing, check counting, percentage weighing, density determination, dynamic weighing","The Adam's Luna precision balance is an easy to use lab balance with accuracy to 0.001g. They feature a huge display with 24mm-high digits, selectable digital filtering and a USB/RS-232 output for sending GLP-compliant reports to a printer (Adam's ATP2 Thermal Printer)or PC (using Adam's AdumDU data capture software). The multilingual display means the scale can be used in many countries, and the internal calibration models (those with an 'i' suffix) will ensure your weight readings are always reliable. Every Luna precision balance is covered by a 5-year manufacturer's warranty.</p>",18VDC 830mA adaptor,ABS plastic,Internal and External calibration,Backlit LCD with 24mm high digits,"g,kg,lb,lb:oz,oz,ct,GN,dwt,ozt,tl.H,tl.S,tl.T,T, custom unit",,,,,,"104008036 AVT Anti-vibration table, 1060015357 Density determination kit, 3012014260 In-use cover, 700100410 ABI-1 Ioniser, 1120015779 ATP2 Thermal printer, 3014011014 RS-232 cable 9M-9F, 3014016217 USB A-A cable, 600002028 AdamDU Data collection program, 700660290 Calibration certificate",Luna precision balance.jpg,https://images.salsify.com/image/upload/s--DuvsTigm--/h3jb8mra1z2ppyrdchih,https://images.salsify.com/image/upload/s--n8SmDusa--/lkqmkpgkcz97j2dusmeo,,https://images.salsify.com/image/upload/s--rncS0VNE--/e5fhm8qu1ahdkf1jt0wy,https://www.adamequipment.co.uk/media/docs/Print%20Publications/Manuals/Luna_UM_EN.pdf,,,
LPB 223i,Child,Adam Equipment,LPB 223i,220g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 423i,Child,Adam Equipment,LPB 423i,420g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 623i,Child,Adam Equipment,LPB 623i,620g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 823i,Child,Adam Equipment,LPB 823i,820g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 223e,Child,Adam Equipment,LPB 223e,220g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 423e,Child,Adam Equipment,LPB 423e,420g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 623e,Child,Adam Equipment,LPB 623e,620g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
LPB 823e,Child,Adam Equipment,LPB 823e,820g,0.001g,,,,,,,,120mm ⌀,219x224x374mm,390x530x420mm,6kg,7kg,,,,,,,,,,
Adam Luna Top Loader Balance,Parent,Adam Equipment,,,,"•High accuracy precision balances with large, bright display
•USB and RS-232 outputs for sending data to printer/PC
•Print-outs include date and time in line with Good Laboratory Practices (GLP) guidelines
•5-year manufacturer's warranty
•Large, grade 304 stainless steel pan
•Multilingual display
•Selectiable digital filtering helps the balance provide dependable results
•Weigh-below hook for density determination
•Internal calibration models available (those with 'i' suffix)
•Use for weighing, parts counting, checkweighing, check counting, percentage weighing, density determination, dynamic weighing","Luna top loader balances feature a huge display with 24mm-high digits, and large stainless steel weighing platform. USB/RS-232 outputs can be used to send GLP-compliant reports to a printer (Adam's ATP2 Thermal Printer)or PC (using Adam's AdumDU data capture software). Internal caliabration models (those with an 'i' suffix) will self-calibrate periodorically - saving you time and meaning there is no need for manual calibration with weights! Every Luna lab balance is covered by a 5-year manufacturer's warranty.",18VDC 830mA adaptor,ABS plastic,Internal and External calibration,Backlit LCD with 24mm high digits,"g,kg,lb,lb:oz,oz,ct,GN,dwt,ozt,tl.H,tl.S,tl.T,T, custom unit",,,,,,"104008036 AVT Anti-vibration table, 1060015357 Density determination kit, 3012014259 In-use cover, 700100410 ABI-1 Ioniser, 1120015779 ATP2 Thermal printer, 3014011014 RS-232 cable 9M-9F, 3014016217 USB A-A cable, 600002028 AdamDU Data collection program, 302120953 Weigh-below hook, 700660290 Calibration certificate",Luna toploader balance.jpg,https://images.salsify.com/image/upload/s--cHNj-0aF--/o7gr2qlnf51q2qx01mlu,https://images.salsify.com/image/upload/s--D0_r9zj---/vkfnbw2uudyy6abcmopw,,https://images.salsify.com/image/upload/s--rncS0VNE--/e5fhm8qu1ahdkf1jt0wy,https://www.adamequipment.co.uk/media/docs/Print%20Publications/Manuals/Luna_UM_EN.pdf,,,
LTB 2602i,Child,Adam Equipment,LTB 2602i,2600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 3602i,Child,Adam Equipment,LTB 3602i,3600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 4602i,Child,Adam Equipment,LTB 4602i,4600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 6002i,Child,Adam Equipment,LTB 6002i,6000g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 2602e,Child,Adam Equipment,LTB 2602e,2600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 3602e,Child,Adam Equipment,LTB 3602e,3600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 4602e,Child,Adam Equipment,LTB 4602e,4600g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LTB 6002e,Child,Adam Equipment,LTB 6002e,6000g,0.01g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LBB 6001e,Child,Adam Equipment,LBB 6001e,6000g,0.1g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LBB 8001e,Child,Adam Equipment,LBB 8001e,8000g,0.1g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LBB 12001e,Child,Adam Equipment,LBB 12001e,12000g,0.1g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
LBB 15001e,Child,Adam Equipment,LBB 15001e,15000g,0.1g,,,,,,,,185x185mm,95x224x374mm,390x530x300,5.5kg,6.5kg,,,,,,,,,,
